name,address_prefix,next_hop_type,next_hop_ip
route-blackhole-cgnat,100.64.0.0/10,None,
route-blackhole-172-16,172.16.0.0/13,None,
route-blackhole-172-24,172.24.0.0/13,None,
route-blackhole-link-local,169.254.128.0/17,None,
route-internet,0.0.0.0/0,Internet,
route-to-hub,10.100.0.0/16,VirtualAppliance,10.2.0.4
route-to-main,10.1.0.0/16,VirtualAppliance,10.2.0.4
route-to-dmz,10.3.0.0/16,VirtualAppliance,10.2.0.4
route-to-mgmt,10.4.0.0/16,VirtualAppliance,10.2.0.4
route-to-dr,10.5.0.0/16,VirtualAppliance,10.2.0.4
route-to-onprem-hq,192.168.0.0/23,VirtualNetworkGateway,
route-to-onprem-dc1,192.168.2.0/24,VirtualNetworkGateway,
route-to-onprem-dc2,192.168.3.0/24,VirtualNetworkGateway,
route-to-onprem-branch1,192.168.10.0/24,VirtualNetworkGateway,
route-to-onprem-branch2,192.168.11.0/24,VirtualNetworkGateway,
route-to-onprem-branch3,192.168.12.0/24,VirtualNetworkGateway,
route-to-onprem-branch4,192.168.13.0/24,VirtualNetworkGateway,
route-to-onprem-branch5,192.168.14.0/24,VirtualNetworkGateway,
route-to-onprem-branch6,192.168.15.0/24,VirtualNetworkGateway,
route-to-onprem-warehouse,192.168.20.0/24,VirtualNetworkGateway,
route-to-onprem-factory,192.168.21.0/24,VirtualNetworkGateway,
route-to-onprem-retail-a,192.168.30.0/24,VirtualNetworkGateway,
route-to-onprem-retail-b,192.168.31.0/24,VirtualNetworkGateway,
route-to-onprem-retail-c,192.168.32.0/24,VirtualNetworkGateway,
route-to-onprem-datacentre,192.168.100.0/22,VirtualNetworkGateway,
route-to-onprem-server-farm,192.168.104.0/23,VirtualNetworkGateway,
route-to-partner-bank,203.0.113.0/26,VirtualAppliance,10.2.0.4
route-to-partner-telco,203.0.113.64/26,VirtualAppliance,10.2.0.4
route-to-partner-cloud,198.51.100.0/24,VirtualAppliance,10.2.0.4
route-to-appgw,10.2.40.0/24,VirtualAppliance,10.2.0.4
route-to-firewall,10.2.41.0/26,VirtualAppliance,10.2.0.4
route-to-bastion,10.2.42.0/26,VirtualAppliance,10.2.0.4
route-to-vpn-gw,10.2.43.0/27,VirtualAppliance,10.2.0.4
route-to-er-gw,10.2.44.0/27,VirtualAppliance,10.2.0.4
route-to-dns-in,10.2.45.0/28,VirtualAppliance,10.2.0.4
route-to-dns-out,10.2.46.0/28,VirtualAppliance,10.2.0.4
route-to-api-mgmt,10.2.11.0/28,VirtualAppliance,10.2.0.4
route-to-waf,10.2.47.0/27,VirtualAppliance,10.2.0.4
route-to-proxy,10.2.48.0/27,VirtualAppliance,10.2.0.4
route-to-cdn-origin,10.2.49.0/28,VirtualAppliance,10.2.0.4
route-to-monitoring,10.2.50.0/24,VirtualAppliance,10.2.0.4
route-to-log-workspace,10.2.51.0/27,VirtualAppliance,10.2.0.4
route-to-backup-vault,10.2.52.0/27,VirtualAppliance,10.2.0.4
route-to-site-recovery,10.2.53.0/27,VirtualAppliance,10.2.0.4
route-to-app-svc-env,10.2.10.0/24,VirtualAppliance,10.2.0.4
route-to-aks-ingress,10.2.55.0/27,VirtualAppliance,10.2.0.4
route-to-cert-authority,10.2.56.0/28,VirtualAppliance,10.2.0.4
route-to-smtp-relay,10.2.57.0/28,VirtualAppliance,10.2.0.4
route-to-ntp-server,10.2.58.0/28,VirtualAppliance,10.2.0.4
route-to-syslog,10.2.59.0/27,VirtualAppliance,10.2.0.4
